codigo_inep,ano,n_redacoes,media_c1,media_c2,media_c3,media_c4,media_c5
17082803,2024,23,136.52,165.22,140.87,157.39,151.3
17087813,2024,52,125.0,162.69,125.0,138.08,126.54
17093830,2024,22,114.55,141.82,110.91,127.27,104.55
17122805,2024,89,122.47,143.6,116.18,129.21,102.7
17125804,2024,16,143.75,176.25,140.0,160.0,172.5
21000034,2024,60,110.0,133.67,111.33,121.33,85.0
21001685,2024,8,110.0,135.0,105.0,122.5,112.5
21001898,2024,73,130.14,160.27,128.77,140.82,123.01
21001901,2024,55,118.91,141.82,112.36,129.09,98.18
21003130,2024,13,109.23,127.69,100.0,120.0,84.62
21003173,2024,66,104.85,124.24,99.09,113.94,84.55
21003947,2024,42,117.14,142.38,111.9,128.57,108.57
21004013,2024,59,103.73,122.03,101.02,108.14,71.86
21004447,2024,46,117.39,150.43,121.3,137.39,99.13
21004455,2024,42,108.57,133.81,109.52,117.14,87.14
21004528,2024,46,118.26,135.22,106.52,116.96,80.43
21005680,2024,42,104.76,118.57,95.24,109.52,58.57
21005990,2024,31,116.13,147.1,110.32,124.52,90.32
21006032,2024,49,119.59,144.08,115.1,124.49,85.31
21007357,2024,53,113.58,146.42,109.06,124.53,93.21
21007365,2024,41,107.8,126.34,99.51,104.39,57.56
21007373,2024,21,107.62,122.86,109.52,103.81,69.52
21007446,2024,191,113.72,138.12,106.81,115.29,92.77
21007454,2024,22,116.36,140.0,113.64,130.91,106.36
21008299,2024,28,113.57,135.0,112.86,122.86,80.0
21008388,2024,22,130.91,150.0,120.0,138.18,121.82
21008396,2024,155,116.26,142.97,113.42,123.74,98.32
21008574,2024,63,119.37,144.76,112.7,130.79,108.89
21008604,2024,33,108.48,138.79,101.21,107.27,85.45
21008680,2024,127,127.24,164.57,130.55,146.14,125.04
21008728,2024,70,115.43,136.86,106.57,120.0,89.43
21009473,2024,29,110.34,133.79,102.07,115.17,90.34
21009678,2024,7,102.86,137.14,85.71,108.57,88.57
21009686,2024,28,100.71,117.86,95.0,101.43,73.57
21009694,2024,124,118.87,145.97,116.61,127.42,106.77
21009716,2024,43,119.07,138.14,114.42,131.63,104.19
21009783,2024,22,111.82,126.36,100.0,112.73,73.64
21009805,2024,37,122.7,152.43,124.86,130.27,115.68
21009848,2024,282,125.25,157.87,126.88,135.53,120.28
21009864,2024,16,102.5,125.0,95.0,106.25,75.0
21009872,2024,123,126.18,151.87,122.44,133.5,112.36
21009902,2024,63,154.92,181.59,162.86,179.05,177.78
21010064,2024,106,145.28,178.3,153.96,174.91,169.06
21010102,2024,130,121.23,153.85,118.77,137.85,112.92
21010200,2024,117,142.56,176.07,148.89,167.18,156.24
21010250,2024,26,146.92,184.62,157.69,175.38,165.38
21010331,2024,53,154.72,189.43,170.19,185.28,172.83
21011052,2024,50,142.4,172.8,147.2,162.4,160.0
21011125,2024,141,119.86,148.94,117.45,131.91,112.2
21011133,2024,115,126.09,151.3,122.78,136.87,116.0
21013837,2024,47,129.79,156.17,131.91,142.55,123.83
21013926,2024,140,120.57,145.14,119.14,129.43,110.43
